product_id,rating
B0B8ZKWGKD,4.30
B09NNJ9WYM,3.70
B08H5L8V1L,4.30
B0B8CXTTG3,4.20
B09HCH3JZG,4.40
B097JVLW3L,3.50
B09SB6SJB4,4.10
B08NW8GHCJ,4.30
B09YHLPQYT,4.20
B08G1RW2Q3,4.00
B08YXJJW8H,3.90
B09P8M18QM,3.30
B08BG4M4N7,3.80
B07VJ9ZTXS,4.00
B084872DQY,4.30
B00GGGOYEU,3.90
B08FD2VSD9,4.20
B0BQRJ3C47,5.00
B095JPKPH3,4.10
B087JWLZ2K,3.90
B09DSXK8JX,4.20
B08V9C4B1J,4.30
B08PKBMJKS,3.80
B0B8VQ7KDS,4.30
B086JTMRYL,4.40
B09RWQ7YR6,4.30
B00OFM6PEO,4.30
B0BF57RN3K,4.20
B0B3RRWSF6,4.30
B0B5B6PQCT,3.80
B08HV83HL3,4.30
B0BBN4DZBD,4.00
B0B3CPQ5PF,4.30
B0B3CQBRB4,4.30
B0BBN56J5H,4.00
B0BBN3WF7V,4.00
B0BDRVFDKP,4.40
B0B5LVS732,4.10
B09V2Q4QVQ,4.00
B09V12K8NT,3.90
B01DEWVZ2C,4.10
B0BMGB3CH9,4.20
B08D77XZX5,3.90
B09XB8GFBQ,4.00
B07WG8PDCW,4.00
B07GPXXNNG,4.10
B0BDYVC5TD,4.40
B0BMGB2TPR,4.20
B08MC57J31,4.30
B08HVL8QN3,4.30
B0746JGVDS,3.90
B08VFF6JQ8,4.40
B09NVPSCQT,4.00
B09YV4RG4D,4.20
B09TWHTBKQ,4.10
B08L5HMJVW,4.40
B0B4F2XCK3,4.10
B0BF54972T,4.20
B09YV4MW2T,4.20
B09TWH8YHM,4.10
B07WGMMQGP,4.00
B0BF563HB4,4.20
B07JW9H4J1,4.20
B09GFPVD9Y,4.10
B09GFLXVH9,4.10
B0BF4YBLPX,4.20
B09XB7DPW1,4.00
B07PFJ5W31,4.30
B0B3N7LR6K,4.30
B09ZQK9X8G,4.10
B098NS6PVG,4.00
B07WJV6P1R,4.10
B096MSW6CT,3.90
B0BF54LXW6,4.20
B09XB7SRQ5,4.00
B09FFK1PQG,4.40
B09RMQYHLH,4.20
B08ZN4B121,3.80
B0B3RSDSZ3,4.30
B08VB34KJ1,4.20
B09T39K9YL,3.90
B08VF8V79P,4.40
B08G28Z33M,4.00
B09PNKXSKF,4.00
B0B5DDJNH4,3.80
B08HDJ86NZ,4.20
B08CF3B7N1,4.20
B07WDKLDRX,4.40
B09MQSCJQ1,4.20
B094YFFSMY,4.00
B09MT84WV5,4.30
B08VS3YLRK,4.10
B0B4F3QNDM,4.10
B07GQD4K6L,4.10
B07WDKLRM4,4.10
B0BP18W8TM,4.40
B08Y1TFSP6,3.90
B07GXHC691,4.30
B08FN6WGDQ,4.00
B0B3D39RKV,4.30
B085HY1DGR,4.00
B08D75R3Z1,3.60
B0B4F2TTTS,4.10
B09WRMNJ9G,4.20
B0B14MR9L1,4.10
B09ZPL5VYM,4.10
B0993BB11X,4.00
B09V2PZDX8,4.00
B085W8CFLH,3.50
B09MT6XSFW,4.30
B07RD611Z8,4.10
B08WRWPM22,4.10
B0B4F52B5X,4.10
B096VF5YYF,4.10
B0B5D39BCD,3.80
B08DDRGWTJ,4.30
B082LZGK39,4.00
B09XBJ1CTN,4.20
B0B4F5L738,4.10
B08MTCKDYN,4.10
B09QS8V5N8,4.10
B08CF3D7QR,4.30
B09T2WRLJJ,3.90
B089WB69Y1,4.00
B0116MIKKC,4.50
B09P858DK8,4.00
B07DJLFMPS,4.00
B07WHQWXL7,4.10
B07WDK3ZS6,4.10
B09T2S8X9C,3.90
B07S9S86BF,4.10
B07N8RQ6W7,4.10
B09FKDH6FS,4.00
B08HVJCW95,4.30
B09YDFDVNS,4.00
B07WGPKTS4,4.10
B0789LZTCJ,4.20
B09MZCQYHZ,4.00
B0B4F2ZWL3,4.10
B08VB2CMR3,4.20
B095RTJH1M,4.60
B097R25DP7,4.00
B09YDFKJF8,4.00
B07WDK3ZS2,4.30
B08RZ5K9YH,4.30
B08444S68L,4.20
B07WHQBZLS,4.00
B085DTN6R2,4.20
B09JS562TP,4.00
B09KLVMZ3B,4.10
B09V17S2BG,3.90
B0B5CGTBKV,3.80
B0B23LW7NV,4.70
B09KGV7WSV,4.30
B0971DWFDT,4.20
B0BNV7JM5Y,4.10
B0B53QFZPY,3.30
B083342NKJ,4.40
B07WJWRNVK,4.00
B01F25X6RQ,4.20
B09C6HXFC1,4.50
B0B244R4KB,4.60
B0BMGG6NKT,4.20
B082LSVT4B,4.00
B092JHPL72,3.70
B08WRBG3XW,4.10
B09GFM8CGS,4.10
B0B3MWYCHQ,4.20
B09J2MM5C6,4.20
B07Q4QV1DL,4.50
B0B56YRBNT,3.80
B09NHVCHS9,4.00
B01DF26V7A,4.10
B08K4PSZ3V,3.80
B0B4F1YC3J,4.10
B08K4RDQ71,3.80
B085CZ3SR1,4.20
B09YV3K34W,4.20
B09Z6WH2N1,4.20
B09NL4DJ2Z,4.00
B0BGSV43WY,3.50
B0926V9CTV,4.30
B07WGPKMP5,4.10
B0BBFJ9M3X,3.90
B09PLFJ7ZW,3.90
B0B53NXFFR,3.30
B07GNC2592,4.00
B09TP5KBN7,4.00
B0949SBKMP,4.00
B09V175NP7,3.90
B07WHSJXLF,4.30
B0BD3T6Z1D,4.10
B09LHYZ3GJ,4.10
B07WFPMGQQ,4.30
B09QS9X9L8,4.10
B0B6BLTGTT,4.10
B077Z65HSD,4.30
B09W5XR9RT,4.40
B084DTMYWK,4.20
B0B53QLB9H,3.30
B0BDYW3RN3,4.40
B0B3RS9DNF,4.30
B09QS9X16F,4.10
B08HV25BBQ,4.00
B09LJ116B5,4.10
B0BMVWKZ8G,4.30
B0BD92GDQH,3.80
B08Y1SJVV5,3.90
B0B5GF6DQD,3.70
B09JS94MBV,4.00
B09YV463SW,4.20
B07XLCFSSN,4.40
B09NL4DCXK,3.90
B0B8CHJLWJ,4.50
B0B8ZWNR5T,4.20
B0BBFJLP21,3.90
B01F262EUU,4.20
B09VZBGL1N,4.10
B0BNVBJW2S,4.10
B0B2DJ5RVQ,4.30
B096TWZRJC,4.10
B09GP6FBZT,4.30
B0B3DV7S9B,3.60
B09MKP344P,4.10
B08JW1GVS7,4.00
B09LHZSMRR,4.10
B0B5V47VK4,4.30
B08H21B6V7,3.90
B09BNXQ6BR,4.10
B01FSYQ2A4,4.10
B08L5FM4JC,4.40
B0B54Y2SNX,3.80
B08BQ947H3,4.30
B082T6V3DT,4.30
B0B7DHSKS7,3.50
B09SJ1FTYV,4.00
B09XJ5LD6L,3.90
B07WHS7MZ1,4.30
B0BBVKRP7B,2.80
B09NY7W8YD,3.80
B0BMM7R92G,4.50
B08M66K48D,4.30
B09RFB2SJQ,4.10
B0B82YGCF6,3.00
B08HF4W2CT,4.00
B08BCKN299,3.90
B0B2X35B1K,4.10
B09QS9CWLV,4.10
B0B1NX6JTN,4.30
B078G6ZF5Z,4.00
B0BBW521YC,4.40
B09HSKYMB3,4.30
B09YV42QHZ,4.20
B09BF8JBWX,3.80
B0B5YBGCKD,4.30
B01GGKYKQM,4.30
B09MY4W73Q,4.30
B08R69VDHT,4.00
B09T37CKQ5,3.90
B09GFPN6TP,4.10
B0B298D54H,3.70
B08VB57558,4.20
B09CMP1SC8,4.10
B09YLXYP7Y,4.00
B0B9BXKBC7,4.60
B09NY6TRXG,3.90
B09NVPJ3P4,4.00
B0B3NDPCS9,4.30
B09VGKFM7Y,4.40
B07QCWY5XV,4.10
B098QXR9X2,4.10
B07H1S7XW8,4.10
B0BNXFDTZ2,4.40
B088ZFJY82,4.50
B0B4F4QZ1H,4.10
B09BCNQ9R2,4.20
B0B9BD2YL4,4.50
B071Z8M4KX,4.10
B09N3ZNHTY,3.90
B0B3RRWSF6,4.30
B0B5B6PQCT,3.80
B005FYNT3G,4.30
B01J0XWYKQ,4.40
B09CTRPSJR,3.80
B08JQN8DGZ,3.80
B0B72BSW7K,3.50
B0BDRVFDKP,4.40
B0B5LVS732,4.10
B08TV2P1N8,4.10
B07XCM6T4N,4.30
B07T5DKR5D,3.50
B01DEWVZ2C,4.10
B07PR1CL3S,4.10
B09V12K8NT,3.90
B07JQKQ91F,3.90
B08W56G1K9,4.10
B07WG8PDCW,4.00
B01L8ZNWN2,4.20
B009VCGPSY,4.30
B0B296NTFV,4.10
B09NVPSCQT,4.00
B09YV4RG4D,4.20
B07TCN5VR9,3.90
B00ZYLMQH0,4.30
B09YV4MW2T,4.20
B01HJI0FS2,4.50
B076B8G5D8,4.00
B07JW9H4J1,4.20
B014SZO90Y,4.50
B07KCMR8D6,4.30
B00N1U9AJS,3.90
B07KY3FNQP,4.10
B0B3N7LR6K,4.30
B07QZ3CZ48,4.20
B09T3H12GV,4.20
B098NS6PVG,4.00
B096MSW6CT,3.90
B09ZQK9X8G,4.10
B08ZJDWTJ1,4.50
B08FTFXNNB,3.70
B08YDFX7Y1,3.50
B08HDJ86NZ,4.20
B087FXHB6J,3.50
B07N42JB4S,4.30
B0B31BYXQQ,3.90
B08CF3B7N1,4.20
B07SLMR1K6,4.30
B09MQSCJQ1,4.20
B094YFFSMY,4.00
B092X94QNQ,4.10
B0846D5CBP,4.50
B00KXULGJQ,4.20
B08H9Z3XQW,4.10
B08LPJZSSW,3.90
B09MT84WV5,4.30
B08Y1TFSP6,3.90
B08CYPB15D,4.00
B085HY1DGR,4.00
B00MFPCY5C,3.50
B07JJFSG2B,4.30
B09NR6G588,3.80
B07JPX9CR7,4.40
B08D11DZ2W,3.70
B07Q7561HD,4.40
B0819HZPXL,4.40
B00LXTFMRS,4.40
B0B9LDCX89,4.20
B0765B3TH7,4.50
B0B1F6GQPS,3.80
B07LG59NPV,3.80
B07RD611Z8,4.10
B08WRWPM22,4.10
B00AXHBBXU,4.40
B08MCD9JFY,3.80
B083RCTXLL,4.20
B08HLZ28QC,4.10
B07GVR9TG7,4.40
B0856HY85J,4.10
B07CD2BN46,4.10
B07PLHTTB4,3.50
B077T3BG5L,3.60
B08DDRGWTJ,4.30
B079Y6JZC8,3.80
B0856HNMR7,4.00
